|------|-----------|------------------------|---------------|--------|
|  274 |  447720.0 | CHOICE_CORRECT_EVENT   |               |        |
|------|-----------|------------------------|---------------|--------|
|  275 |  447720.0 | CHOICE_SHORT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|  276 |  447720.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|  277 |  447720.0 | CHOICE_LEFT_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  278 |  448522.0 | REWARD_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|  279 |  455429.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|  280 |  455430.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|  281 |  455430.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|  282 |  455430.0 |                        | this_interval | 1380.0 |
|------|-----------|------------------------|---------------|--------|
|  283 |  455430.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|  284 |  466245.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  285 |  466246.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|  286 |  467628.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  287 |  467628.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|  288 |  468378.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|  289 |  468378.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|  290 |  468378.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  291 |  468378.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|  292 |  485352.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|  293 |  485353.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|  294 |  485353.0 |                        | this_interval | 1050.0 |
|------|-----------|------------------------|---------------|--------|
|  295 |  485353.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|  296 |  485353.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|  297 |  487496.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|  298 |  487496.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  299 |  488547.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|  300 |  488547.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  301 |  489302.0 | CHOICE_RIGHT_EVENT     |               |        |
|------|-----------|------------------------|---------------|--------|
|  302 |  489302.0 | CHOICE_LONG_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  303 |  489302.0 | CHOICE_EVENT           |               |        |
|------|-----------|------------------------|---------------|--------|
|  304 |  489302.0 | CHOICE_INCORRECT_EVENT |               |        |
|------|-----------|------------------------|---------------|--------|
|  305 |  506599.0 | TRIAL_AVAILABLE_EVENT  |               |        |
|------|-----------|------------------------|---------------|--------|
|  306 |  506600.0 |                        | correct_side  | left   |
|------|-----------|------------------------|---------------|--------|
|  307 |  506600.0 |                        | init_port     | S      |
|------|-----------|------------------------|---------------|--------|
|  308 |  506600.0 |                        | stim_long     | False  |
|------|-----------|------------------------|---------------|--------|
|  309 |  506600.0 |                        | this_interval |  600.0 |
|------|-----------|------------------------|---------------|--------|
|  310 |  506996.0 | TRIAL_ENTRY_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  311 |  506997.0 | STIM_ONSET_EVENT       |               |        |
|------|-----------|------------------------|---------------|--------|
|  312 |  507599.0 | CHOICE_STATE           |               |        |
|------|-----------|------------------------|---------------|--------|
|  313 |  507599.0 | STIM_OFFSET_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  314 |  508223.0 | CHOICE_LEFT_EVENT      |               |        |
|------|-----------|------------------------|---------------|--------|
|  315 |  508223.0 | CHOICE_CORRECT_EVENT   |               |        |
